"MYCOMBO,C,80","ET_Count,N,10,0","FIRST_MyHe,C,80","FIRST_ICES,C,80","FIRST_Sear,C,80","FIRST_MyNS,C,80","FIRST_MyDi,C,80","FIRST_MyD1,C,80","FIRST_MyCo,C,80","MyCalcArea,N,19,11","HSName,C,10"
01C1_EH,2,W,01C1,01C1-2,EW,EH,NH,01C1_EH,2493.31631475,01C1E
01C2_EH,2,W,01C2,01C2-2,EW,EH,NH,01C2_EH,2493.31638488,01C2E
01C2_WH,2,W,01C2,01C2-1,EW,WH,NH,01C2_WH,2493.31635202,01C2W
01C3_EH,2,W,01C3,01C3-2,EW,EH,NH,01C3_EH,2493.3164374,01C3E
01C3_WH,2,W,01C3,01C3-1,EW,WH,NH,01C3_WH,2493.31641335,01C3W
01C4_EH,2,W,01C4,01C4-2,EW,EH,NH,01C4_EH,2493.31647229,01C4E
01C4_WH,2,W,01C4,01C4-1,EW,WH,NH,01C4_WH,2493.31645705,01C4W
01C5_EH,2,W,01C5,01C5-2,EW,EH,NH,01C5_EH,2493.31648954,01C5E
01C5_WH,2,W,01C5,01C5-1,EW,WH,NH,01C5_WH,2493.31648312,01C5W
01C6_EH,2,W,01C6,01C6-2,EW,EH,NH,01C6_EH,2493.31648915,01C6E
01C6_WH,2,W,01C6,01C6-1,EW,WH,NH,01C6_WH,2493.31649155,01C6W
01C7_EH,2,W,01C7,01C7-2,EW,EH,NH,01C7_EH,2493.31647111,01C7E
01C7_WH,2,W,01C7,01C7-1,EW,WH,NH,01C7_WH,2493.31648234,01C7W
01C8_EH,2,W,01C8,01C8-2,EW,EH,NH,01C8_EH,2493.31643543,01C8E
01C8_WH,2,W,01C8,01C8-1,EW,WH,NH,01C8_WH,2493.31645548,01C8W
01C9_EH,2,W,01C9,01C9-2,EW,EH,NH,01C9_EH,2493.31638212,01C9E
01C9_WH,2,W,01C9,01C9-1,EW,WH,NH,01C9_WH,2493.31641098,01C9W
01D0_EH,2,W,01D0,01D0-2,EW,EH,NH,01D0_EH,2493.3163112,01D0E
01D0_WH,2,W,01D0,01D0-1,EW,WH,NH,01D0_WH,2493.31634886,01D0W
01D1_EH,2,W,01D1,01D1-2,EW,EH,NH,01D1_EH,2493.31622269,01D1E
01D1_WH,2,W,01D1,01D1-1,EW,WH,NH,01D1_WH,2493.31626914,01D1W
01D2_EH,2,W,01D2,01D2-2,EW,EH,NH,01D2_EH,2493.31611662,01D2E
01D2_WH,2,W,01D2,01D2-1,EW,WH,NH,01D2_WH,2493.31617185,01D2W
01D3_EH,2,W,01D3,01D3-2,EW,EH,NH,01D3_EH,2493.31599301,01D3E
01D3_WH,2,W,01D3,01D3-1,EW,WH,NH,01D3_WH,2493.316057,01D3W
01D4_EH,2,W,01D4,01D4-2,EW,EH,NH,01D4_EH,2493.31585191,01D4E
01D4_WH,2,W,01D4,01D4-1,EW,WH,NH,01D4_WH,2493.31592464,01D4W
01D5_EH,2,W,01D5,01D5-2,EW,EH,NH,01D5_EH,2493.31569336,01D5E
01D5_WH,2,W,01D5,01D5-1,EW,WH,NH,01D5_WH,2493.31577481,01D5W
01D6_EH,2,W,01D6,01D6-2,EW,EH,NH,01D6_EH,2493.3155174,01D6E
01D6_WH,2,W,01D6,01D6-1,EW,WH,NH,01D6_WH,2493.31560755,01D6W
01D7_EH,2,W,01D7,01D7-2,EW,EH,NH,01D7_EH,2493.3153241,01D7E
01D7_WH,2,W,01D7,01D7-1,EW,WH,NH,01D7_WH,2493.31542292,01D7W
01D8_EH,2,W,01D8,01D8-2,EW,EH,NH,01D8_EH,2493.31511351,01D8E
01D8_WH,2,W,01D8,01D8-1,EW,WH,NH,01D8_WH,2493.31522096,01D8W
01D9_EH,2,W,01D9,01D9-2,EW,EH,NH,01D9_EH,2493.31488569,01D9E
01D9_WH,2,W,01D9,01D9-1,EW,WH,NH,01D9_WH,2493.31500175,01D9W
01E0_EH,2,W,01E0,01E0-2,EW,EH,NH,01E0_EH,2493.31464071,01E0E
01E0_WH,2,W,01E0,01E0-1,EW,WH,NH,01E0_WH,2493.31476534,01E0W
01E1_NH,2,W,01E1,01E1-1,NS,WH,NH,01E1_NH,2489.39646865,01E1N
01E1_SH,2,W,01E1,01E1-3,NS,WH,SH,01E1_SH,2497.23242181,01E1S
01E2_NH,2,W,01E2,01E2-1,NS,WH,NH,01E2_NH,2489.39619471,01E2N
01E2_SH,2,W,01E2,01E2-3,NS,WH,SH,01E2_SH,2497.23214612,01E2S
01E3_NH,2,W,01E3,01E3-1,NS,WH,NH,01E3_NH,2052.24293892,01E3N
01E3_SH,2,W,01E3,01E3-3,NS,WH,SH,01E3_SH,2461.83221726,01E3S
01E4_EH,2,W,01E4,01E4-2,EW,EH,NH,01E4_EH,1480.02320352,01E4E
01E4_WH,2,W,01E4,01E4-1,EW,WH,NH,01E4_WH,473.159395108,01E4W
01E5_WH,2,W,01E5,01E5-1,EW,WH,NH,01E5_WH,2472.96559255,01E5W
02C1_EH,2,W,02C1,02C1-2,EW,EH,NH,02C1_EH,2477.54864961,02C1E
02C2_EH,2,W,02C2,02C2-2,EW,EH,NH,02C2_EH,2477.54871885,02C2E
02C2_WH,2,W,02C2,02C2-1,EW,WH,NH,02C2_WH,2477.54868641,02C2W
02C3_EH,2,W,02C3,02C3-2,EW,EH,NH,02C3_EH,2477.5487707,02C3E
02C3_WH,2,W,02C3,02C3-1,EW,WH,NH,02C3_WH,2477.54874695,02C3W
02C4_EH,2,W,02C4,02C4-2,EW,EH,NH,02C4_EH,2388.7561084,02C4E
02C4_WH,2,W,02C4,02C4-1,EW,WH,NH,02C4_WH,2477.5487901,02C4W
02C5_EH,2,W,02C5,02C5-2,EW,EH,NH,02C5_EH,2477.54882218,02C5E
02C5_WH,2,W,02C5,02C5-1,EW,WH,NH,02C5_WH,2477.54881584,02C5W
02C6_EH,2,W,02C6,02C6-2,EW,EH,NH,02C6_EH,2477.54882179,02C6E
02C6_WH,2,W,02C6,02C6-1,EW,WH,NH,02C6_WH,2477.54882416,02C6W
02C7_EH,2,W,02C7,02C7-2,EW,EH,NH,02C7_EH,2477.54880398,02C7E
02C7_WH,2,W,02C7,02C7-1,EW,WH,NH,02C7_WH,2477.54881506,02C7W
02C8_EH,2,W,02C8,02C8-2,EW,EH,NH,02C8_EH,2477.54876876,02C8E
02C8_WH,2,W,02C8,02C8-1,EW,WH,NH,02C8_WH,2477.54878854,02C8W
02C9_EH,2,W,02C9,02C9-2,EW,EH,NH,02C9_EH,2477.54871613,02C9E
02C9_WH,2,W,02C9,02C9-1,EW,WH,NH,02C9_WH,2477.54874462,02C9W
02D0_EH,2,W,02D0,02D0-2,EW,EH,NH,02D0_EH,2477.54864611,02D0E
02D0_WH,2,W,02D0,02D0-1,EW,WH,NH,02D0_WH,2477.54868329,02D0W
02D1_EH,2,W,02D1,02D1-2,EW,EH,NH,02D1_EH,2477.54855873,02D1E
02D1_WH,2,W,02D1,02D1-1,EW,WH,NH,02D1_WH,2477.54860459,02D1W
02D2_EH,2,W,02D2,02D2-2,EW,EH,NH,02D2_EH,2477.54845401,02D2E
02D2_WH,2,W,02D2,02D2-1,EW,WH,NH,02D2_WH,2477.54850854,02D2W
02D3_EH,2,W,02D3,02D3-2,EW,EH,NH,02D3_EH,2477.54833199,02D3E
02D3_WH,2,W,02D3,02D3-1,EW,WH,NH,02D3_WH,2477.54839516,02D3W
02D4_EH,2,W,02D4,02D4-2,EW,EH,NH,02D4_EH,2477.54819269,02D4E
02D4_WH,2,W,02D4,02D4-1,EW,WH,NH,02D4_WH,2477.54826449,02D4W
02D5_EH,2,W,02D5,02D5-2,EW,EH,NH,02D5_EH,2477.54803616,02D5E
02D5_WH,2,W,02D5,02D5-1,EW,WH,NH,02D5_WH,2477.54811658,02D5W
02D6_EH,2,W,02D6,02D6-2,EW,EH,NH,02D6_EH,2477.54786246,02D6E
02D6_WH,2,W,02D6,02D6-1,EW,WH,NH,02D6_WH,2477.54795145,02D6W
02D7_EH,2,W,02D7,02D7-2,EW,EH,NH,02D7_EH,2477.54767162,02D7E
02D7_WH,2,W,02D7,02D7-1,EW,WH,NH,02D7_WH,2477.54776918,02D7W
02D8_EH,2,W,02D8,02D8-2,EW,EH,NH,02D8_EH,2477.54746372,02D8E
02D8_WH,2,W,02D8,02D8-1,EW,WH,NH,02D8_WH,2477.5475698,02D8W
02D9_EH,2,W,02D9,02D9-2,EW,EH,NH,02D9_EH,2477.54723881,02D9E
02D9_WH,2,W,02D9,02D9-1,EW,WH,NH,02D9_WH,2477.54735339,02D9W
02E0_EH,2,W,02E0,02E0-2,EW,EH,NH,02E0_EH,2477.54699696,02E0E
02E0_WH,2,W,02E0,02E0-1,EW,WH,NH,02E0_WH,2477.54712,02E0W
02E1_NH,2,W,02E1,02E1-1,NS,WH,NH,02E1_NH,2473.16279273,02E1N
02E1_SH,2,W,02E1,02E1-3,NS,WH,SH,02E1_SH,2481.51261548,02E1S
02E2_NH,2,W,02E2,02E2-1,NS,WH,NH,02E2_NH,2446.00129466,02E2N
02E2_SH,2,W,02E2,02E2-3,NS,WH,SH,02E2_SH,2481.51234329,02E2S
02E3_NH,2,W,02E3,02E3-1,NS,WH,NH,02E3_NH,1448.14819416,02E3N
02E3_SH,2,W,02E3,02E3-3,NS,WH,SH,02E3_SH,1676.06279408,02E3S
03C1_EH,2,W,03C1,03C1-2,EW,EH,NH,03C1_EH,2461.59016848,03C1E
03C2_EH,2,W,03C2,03C2-2,EW,EH,NH,03C2_EH,2461.59023682,03C2E
03C2_WH,2,W,03C2,03C2-1,EW,WH,NH,03C2_WH,2461.59020479,03C2W
03C3_EH,2,W,03C3,03C3-2,EW,EH,NH,03C3_EH,2461.59028799,03C3E
03C3_WH,2,W,03C3,03C3-1,EW,WH,NH,03C3_WH,2461.59026455,03C3W
03C4_EH,2,W,03C4,03C4-2,EW,EH,NH,03C4_EH,2452.02150352,03C4E
03C4_WH,2,W,03C4,03C4-1,EW,WH,NH,03C4_WH,2461.59030714,03C4W
03C5_EH,2,W,03C5,03C5-2,EW,EH,NH,03C5_EH,2461.5903388,03C5E
03C5_WH,2,W,03C5,03C5-1,EW,WH,NH,03C5_WH,2461.349669,03C5W
03C6_EH,2,W,03C6,03C6-2,EW,EH,NH,03C6_EH,2461.59033841,03C6E
03C6_WH,2,W,03C6,03C6-1,EW,WH,NH,03C6_WH,2461.59034075,03C6W
03C7_EH,2,W,03C7,03C7-2,EW,EH,NH,03C7_EH,2461.59032083,03C7E
03C7_WH,2,W,03C7,03C7-1,EW,WH,NH,03C7_WH,2461.59033177,03C7W
03C8_EH,2,W,03C8,03C8-2,EW,EH,NH,03C8_EH,2461.59028607,03C8E
03C8_WH,2,W,03C8,03C8-1,EW,WH,NH,03C8_WH,2461.5903056,03C8W
03C9_EH,2,W,03C9,03C9-2,EW,EH,NH,03C9_EH,2461.59023413,03C9E
03C9_WH,2,W,03C9,03C9-1,EW,WH,NH,03C9_WH,2461.59026224,03C9W
03D0_EH,2,W,03D0,03D0-2,EW,EH,NH,03D0_EH,2461.59016502,03D0E
03D0_WH,2,W,03D0,03D0-1,EW,WH,NH,03D0_WH,2461.59020172,03D0W
03D1_EH,2,W,03D1,03D1-2,EW,EH,NH,03D1_EH,2461.59007878,03D1E
03D1_WH,2,W,03D1,03D1-1,EW,WH,NH,03D1_WH,2461.59012404,03D1W
03D2_EH,2,W,03D2,03D2-2,EW,EH,NH,03D2_EH,2461.58997542,03D2E
03D2_WH,2,W,03D2,03D2-1,EW,WH,NH,03D2_WH,2461.59002924,03D2W
03D3_EH,2,W,03D3,03D3-2,EW,EH,NH,03D3_EH,2461.58985498,03D3E
03D3_WH,2,W,03D3,03D3-1,EW,WH,NH,03D3_WH,2461.58991734,03D3W
03D4_EH,2,W,03D4,03D4-2,EW,EH,NH,03D4_EH,2461.5897175,03D4E
03D4_WH,2,W,03D4,03D4-1,EW,WH,NH,03D4_WH,2461.58978837,03D4W
03D5_EH,2,W,03D5,03D5-2,EW,EH,NH,03D5_EH,2461.58956301,03D5E
03D5_WH,2,W,03D5,03D5-1,EW,WH,NH,03D5_WH,2461.58964237,03D5W
03D6_EH,2,W,03D6,03D6-2,EW,EH,NH,03D6_EH,2461.58939156,03D6E
03D6_WH,2,W,03D6,03D6-1,EW,WH,NH,03D6_WH,2461.5894794,03D6W
03D7_EH,2,W,03D7,03D7-2,EW,EH,NH,03D7_EH,2461.58920321,03D7E
03D7_WH,2,W,03D7,03D7-1,EW,WH,NH,03D7_WH,2461.58929949,03D7W
03D8_EH,2,W,03D8,03D8-2,EW,EH,NH,03D8_EH,2461.58899801,03D8E
03D8_WH,2,W,03D8,03D8-1,EW,WH,NH,03D8_WH,2461.58910271,03D8W
03D9_EH,2,W,03D9,03D9-2,EW,EH,NH,03D9_EH,2461.58877603,03D9E
03D9_WH,2,W,03D9,03D9-1,EW,WH,NH,03D9_WH,2461.58888911,03D9W
03E0_EH,2,W,03E0,03E0-2,EW,EH,NH,03E0_EH,2461.58853733,03E0E
03E0_WH,2,W,03E0,03E0-1,EW,WH,NH,03E0_WH,2461.58865876,03E0W
03E1_EH,2,W,03E1,03E1-2,EW,EH,NH,03E1_EH,372.740255103,03E1E
03E1_WH,2,W,03E1,03E1-1,EW,WH,NH,03E1_WH,944.151283428,03E1W
03E2_NH,2,W,03E2,03E2-1,NS,WH,NH,03E2_NH,10.0105471732,03E2N
03E2_SH,2,W,03E2,03E2-3,NS,WH,SH,03E2_SH,1258.35996633,03E2S
03E3_NH,2,W,03E3,03E3-1,NS,WH,NH,03E3_NH,12.6079532105,03E3N
03E3_SH,2,W,03E3,03E3-3,NS,WH,SH,03E3_SH,509.139647328,03E3S
04C1_EH,2,W,04C1,04C1-2,EW,EH,NH,04C1_EH,2445.4419289,04C1E
04C2_EH,2,W,04C2,04C2-2,EW,EH,NH,04C2_EH,2445.44199633,04C2E
04C2_WH,2,W,04C2,04C2-1,EW,WH,NH,04C2_WH,2445.44196473,04C2W
04C3_EH,2,W,04C3,04C3-2,EW,EH,NH,04C3_EH,2445.44204683,04C3E
04C3_WH,2,W,04C3,04C3-1,EW,WH,NH,04C3_WH,2445.4420237,04C3W
04C4_EH,2,W,04C4,04C4-2,EW,EH,NH,04C4_EH,2029.55017342,04C4E
04C4_WH,2,W,04C4,04C4-1,EW,WH,NH,04C4_WH,2102.53371266,04C4W
04C5_EH,2,W,04C5,04C5-2,EW,EH,NH,04C5_EH,2445.44209696,04C5E
04C5_WH,2,W,04C5,04C5-1,EW,WH,NH,04C5_WH,2445.44209079,04C5W
04C6_EH,2,W,04C6,04C6-2,EW,EH,NH,04C6_EH,2445.44209658,04C6E
04C6_WH,2,W,04C6,04C6-1,EW,WH,NH,04C6_WH,2445.44209889,04C6W
04C7_EH,2,W,04C7,04C7-2,EW,EH,NH,04C7_EH,2445.44207923,04C7E
04C7_WH,2,W,04C7,04C7-1,EW,WH,NH,04C7_WH,2445.44209003,04C7W
04C8_EH,2,W,04C8,04C8-2,EW,EH,NH,04C8_EH,2445.44204493,04C8E
04C8_WH,2,W,04C8,04C8-1,EW,WH,NH,04C8_WH,2445.4420642,04C8W
04C9_EH,2,W,04C9,04C9-2,EW,EH,NH,04C9_EH,2445.44199368,04C9E
04C9_WH,2,W,04C9,04C9-1,EW,WH,NH,04C9_WH,2445.44202142,04C9W
04D0_EH,2,W,04D0,04D0-2,EW,EH,NH,04D0_EH,2445.44192549,04D0E
04D0_WH,2,W,04D0,04D0-1,EW,WH,NH,04D0_WH,2445.4419617,04D0W
04D1_EH,2,W,04D1,04D1-2,EW,EH,NH,04D1_EH,2445.44184039,04D1E
04D1_WH,2,W,04D1,04D1-1,EW,WH,NH,04D1_WH,2445.44188505,04D1W
04D2_EH,2,W,04D2,04D2-2,EW,EH,NH,04D2_EH,2445.4417384,04D2E
04D2_WH,2,W,04D2,04D2-1,EW,WH,NH,04D2_WH,2445.4417915,04D2W
04D3_EH,2,W,04D3,04D3-2,EW,EH,NH,04D3_EH,2445.44161955,04D3E
04D3_WH,2,W,04D3,04D3-1,EW,WH,NH,04D3_WH,2445.44168108,04D3W
04D4_EH,2,W,04D4,04D4-2,EW,EH,NH,04D4_EH,2445.44148389,04D4E
04D4_WH,2,W,04D4,04D4-1,EW,WH,NH,04D4_WH,2445.44155382,04D4W
04D5_EH,2,W,04D5,04D5-2,EW,EH,NH,04D5_EH,2445.44133145,04D5E
04D5_WH,2,W,04D5,04D5-1,EW,WH,NH,04D5_WH,2445.44140976,04D5W
04D6_EH,2,W,04D6,04D6-2,EW,EH,NH,04D6_EH,2445.44116227,04D6E
04D6_WH,2,W,04D6,04D6-1,EW,WH,NH,04D6_WH,2445.44124895,04D6W
04D7_EH,2,W,04D7,04D7-2,EW,EH,NH,04D7_EH,2445.44097641,04D7E
04D7_WH,2,W,04D7,04D7-1,EW,WH,NH,04D7_WH,2445.44107142,04D7W
04D8_EH,2,W,04D8,04D8-2,EW,EH,NH,04D8_EH,2445.44077393,04D8E
04D8_WH,2,W,04D8,04D8-1,EW,WH,NH,04D8_WH,2445.44087725,04D8W
04D9_EH,2,W,04D9,04D9-2,EW,EH,NH,04D9_EH,2445.44055489,04D9E
04D9_WH,2,W,04D9,04D9-1,EW,WH,NH,04D9_WH,2445.44066648,04D9W
04E0_EH,2,W,04E0,04E0-2,EW,EH,NH,04E0_EH,2445.44031935,04E0E
04E0_WH,2,W,04E0,04E0-1,EW,WH,NH,04E0_WH,2445.44043918,04E0W
04E1_WH,2,W,04E1,04E1-1,EW,WH,NH,04E1_WH,949.00717674,04E1W
05C1_EH,2,W,05C1,05C1-2,EW,EH,NH,05C1_EH,2105.85632287,05C1E
05C2_EH,2,W,05C2,05C2-2,EW,EH,NH,05C2_EH,2429.10507094,05C2E
05C2_WH,2,W,05C2,05C2-1,EW,WH,NH,05C2_WH,2429.10503976,05C2W
05C3_EH,2,W,05C3,05C3-2,EW,EH,NH,05C3_EH,2429.10512075,05C3E
05C3_WH,2,W,05C3,05C3-1,EW,WH,NH,05C3_WH,2429.10509794,05C3W
05C4_EH,2,W,05C4,05C4-2,EW,EH,NH,05C4_EH,2429.10515385,05C4E
05C4_WH,2,W,05C4,05C4-1,EW,WH,NH,05C4_WH,2429.10513939,05C4W
05C5_EH,2,W,05C5,05C5-2,EW,EH,NH,05C5_EH,2429.10517021,05C5E
05C5_WH,2,W,05C5,05C5-1,EW,WH,NH,05C5_WH,2429.10516412,05C5W
05C6_EH,2,W,05C6,05C6-2,EW,EH,NH,05C6_EH,2429.10516984,05C6E
05C6_WH,2,W,05C6,05C6-1,EW,WH,NH,05C6_WH,2429.10517212,05C6W
05C7_EH,2,W,05C7,05C7-2,EW,EH,NH,05C7_EH,2429.10515273,05C7E
05C7_WH,2,W,05C7,05C7-1,EW,WH,NH,05C7_WH,2429.10516337,05C7W
05C8_EH,2,W,05C8,05C8-2,EW,EH,NH,05C8_EH,2429.10511888,05C8E
05C8_WH,2,W,05C8,05C8-1,EW,WH,NH,05C8_WH,2429.1051379,05C8W
05C9_EH,2,W,05C9,05C9-2,EW,EH,NH,05C9_EH,2429.10506832,05C9E
05C9_WH,2,W,05C9,05C9-1,EW,WH,NH,05C9_WH,2429.10509569,05C9W
05D0_EH,2,W,05D0,05D0-2,EW,EH,NH,05D0_EH,2429.10500105,05D0E
05D0_WH,2,W,05D0,05D0-1,EW,WH,NH,05D0_WH,2429.10503677,05D0W
05D1_EH,2,W,05D1,05D1-2,EW,EH,NH,05D1_EH,2429.1049171,05D1E
05D1_WH,2,W,05D1,05D1-1,EW,WH,NH,05D1_WH,2429.10496116,05D1W
05D2_EH,2,W,05D2,05D2-2,EW,EH,NH,05D2_EH,2429.10481649,05D2E
05D2_WH,2,W,05D2,05D2-1,EW,WH,NH,05D2_WH,2429.10486887,05D2W
05D3_EH,2,W,05D3,05D3-2,EW,EH,NH,05D3_EH,2429.10469924,05D3E
05D3_WH,2,W,05D3,05D3-1,EW,WH,NH,05D3_WH,2429.10475994,05D3W
05D4_EH,2,W,05D4,05D4-2,EW,EH,NH,05D4_EH,2429.10456541,05D4E
05D4_WH,2,W,05D4,05D4-1,EW,WH,NH,05D4_WH,2429.1046344,05D4W
05D5_EH,2,W,05D5,05D5-2,EW,EH,NH,05D5_EH,2429.10441502,05D5E
05D5_WH,2,W,05D5,05D5-1,EW,WH,NH,05D5_WH,2429.10449228,05D5W
05D6_EH,2,W,05D6,05D6-2,EW,EH,NH,05D6_EH,2429.10424813,05D6E
05D6_WH,2,W,05D6,05D6-1,EW,WH,NH,05D6_WH,2429.10433363,05D6W
05D7_EH,2,W,05D7,05D7-2,EW,EH,NH,05D7_EH,2429.10406478,05D7E
05D7_WH,2,W,05D7,05D7-1,EW,WH,NH,05D7_WH,2429.10415851,05D7W
05D8_EH,2,W,05D8,05D8-2,EW,EH,NH,05D8_EH,2429.10386503,05D8E
05D8_WH,2,W,05D8,05D8-1,EW,WH,NH,05D8_WH,2429.10396695,05D8W
05D9_EH,2,W,05D9,05D9-2,EW,EH,NH,05D9_EH,2429.10364894,05D9E
05D9_WH,2,W,05D9,05D9-1,EW,WH,NH,05D9_WH,2429.10375902,05D9W
05E0_EH,2,W,05E0,05E0-2,EW,EH,NH,05E0_EH,2302.13947958,05E0E
05E0_WH,2,W,05E0,05E0-1,EW,WH,NH,05E0_WH,2429.10353479,05E0W
05E1_WH,2,W,05E1,05E1-1,EW,WH,NH,05E1_WH,995.619799484,05E1W
06C1_EH,2,W,06C1,06C1-2,EW,EH,NH,06C1_EH,2158.97006433,06C1E
06C2_EH,2,W,06C2,06C2-2,EW,EH,NH,06C2_EH,1996.86899437,06C2E
06C2_WH,2,W,06C2,06C2-1,EW,WH,NH,06C2_WH,2304.80033874,06C2W
06C3_EH,2,W,06C3,06C3-2,EW,EH,NH,06C3_EH,2412.58059933,06C3E
06C3_WH,2,W,06C3,06C3-1,EW,WH,NH,06C3_WH,2412.58057682,06C3W
06C4_EH,2,W,06C4,06C4-2,EW,EH,NH,06C4_EH,2412.58063197,06C4E
06C4_WH,2,W,06C4,06C4-1,EW,WH,NH,06C4_WH,2412.58061771,06C4W
06C5_EH,2,W,06C5,06C5-2,EW,EH,NH,06C5_EH,2412.58064811,06C5E
06C5_WH,2,W,06C5,06C5-1,EW,WH,NH,06C5_WH,2412.5806421,06C5W
06C6_EH,2,W,06C6,06C6-2,EW,EH,NH,06C6_EH,2412.58064774,06C6E
06C6_WH,2,W,06C6,06C6-1,EW,WH,NH,06C6_WH,2412.58064999,06C6W
06C7_EH,2,W,06C7,06C7-2,EW,EH,NH,06C7_EH,2412.58063086,06C7E
06C7_WH,2,W,06C7,06C7-1,EW,WH,NH,06C7_WH,2412.58064136,06C7W
06C8_EH,2,W,06C8,06C8-2,EW,EH,NH,06C8_EH,2412.58059749,06C8E
06C8_WH,2,W,06C8,06C8-1,EW,WH,NH,06C8_WH,2412.58061624,06C8W
06C9_EH,2,W,06C9,06C9-2,EW,EH,NH,06C9_EH,2412.58054762,06C9E
06C9_WH,2,W,06C9,06C9-1,EW,WH,NH,06C9_WH,2412.58057461,06C9W
06D0_EH,2,W,06D0,06D0-2,EW,EH,NH,06D0_EH,2412.58048127,06D0E
06D0_WH,2,W,06D0,06D0-1,EW,WH,NH,06D0_WH,2412.5805165,06D0W
06D1_EH,2,W,06D1,06D1-2,EW,EH,NH,06D1_EH,2412.58039847,06D1E
06D1_WH,2,W,06D1,06D1-1,EW,WH,NH,06D1_WH,2412.58044193,06D1W
06D2_EH,2,W,06D2,06D2-2,EW,EH,NH,06D2_EH,2412.58029924,06D2E
06D2_WH,2,W,06D2,06D2-1,EW,WH,NH,06D2_WH,2412.58035091,06D2W
06D3_EH,2,W,06D3,06D3-2,EW,EH,NH,06D3_EH,2412.58018361,06D3E
06D3_WH,2,W,06D3,06D3-1,EW,WH,NH,06D3_WH,2412.58024347,06D3W
06D4_EH,2,W,06D4,06D4-2,EW,EH,NH,06D4_EH,2412.58005161,06D4E
06D4_WH,2,W,06D4,06D4-1,EW,WH,NH,06D4_WH,2412.58011965,06D4W
06D5_EH,2,W,06D5,06D5-2,EW,EH,NH,06D5_EH,2412.57990329,06D5E
06D5_WH,2,W,06D5,06D5-1,EW,WH,NH,06D5_WH,2412.57997949,06D5W
06D6_EH,2,W,06D6,06D6-2,EW,EH,NH,06D6_EH,2412.57973868,06D6E
06D6_WH,2,W,06D6,06D6-1,EW,WH,NH,06D6_WH,2412.57982302,06D6W
06D7_EH,2,W,06D7,06D7-2,EW,EH,NH,06D7_EH,2412.57955785,06D7E
06D7_WH,2,W,06D7,06D7-1,EW,WH,NH,06D7_WH,2412.57965029,06D7W
06D8_EH,2,W,06D8,06D8-2,EW,EH,NH,06D8_EH,2412.57936084,06D8E
06D8_WH,2,W,06D8,06D8-1,EW,WH,NH,06D8_WH,2412.57946137,06D8W
06D9_EH,2,W,06D9,06D9-2,EW,EH,NH,06D9_EH,2412.57914772,06D9E
06D9_WH,2,W,06D9,06D9-1,EW,WH,NH,06D9_WH,2412.57925629,06D9W
06E0_EH,2,W,06E0,06E0-2,EW,EH,NH,06E0_EH,879.376001437,06E0E
06E0_WH,2,W,06E0,06E0-1,EW,WH,NH,06E0_WH,2412.57903514,06E0W
06E1_WH,2,W,06E1,06E1-1,EW,WH,NH,06E1_WH,98.7517441952,06E1W
07C1_EH,2,W,07C1,07C1-2,EW,EH,NH,07C1_EH,2354.74957477,07C1E
07C2_EH,2,W,07C2,07C2-2,EW,EH,NH,07C2_EH,2395.8695397,07C2E
07C2_WH,2,W,07C2,07C2-1,EW,WH,NH,07C2_WH,2369.81411523,07C2W
07C3_EH,2,W,07C3,07C3-2,EW,EH,NH,07C3_EH,2395.86958814,07C3E
07C3_WH,2,W,07C3,07C3-1,EW,WH,NH,07C3_WH,2395.86956595,07C3W
07C4_EH,2,W,07C4,07C4-2,EW,EH,NH,07C4_EH,2395.86962033,07C4E
07C4_WH,2,W,07C4,07C4-1,EW,WH,NH,07C4_WH,2395.86960627,07C4W
07C5_EH,2,W,07C5,07C5-2,EW,EH,NH,07C5_EH,2395.86963624,07C5E
07C5_WH,2,W,07C5,07C5-1,EW,WH,NH,07C5_WH,2395.86963032,07C5W
07C6_EH,2,W,07C6,07C6-2,EW,EH,NH,07C6_EH,2395.86963588,07C6E
07C6_WH,2,W,07C6,07C6-1,EW,WH,NH,07C6_WH,2395.86963809,07C6W
07C7_EH,2,W,07C7,07C7-2,EW,EH,NH,07C7_EH,2395.86961924,07C7E
07C7_WH,2,W,07C7,07C7-1,EW,WH,NH,07C7_WH,2395.86962959,07C7W
07C8_EH,2,W,07C8,07C8-2,EW,EH,NH,07C8_EH,2395.86958632,07C8E
07C8_WH,2,W,07C8,07C8-1,EW,WH,NH,07C8_WH,2395.86960481,07C8W
07C9_EH,2,W,07C9,07C9-2,EW,EH,NH,07C9_EH,2395.86953715,07C9E
07C9_WH,2,W,07C9,07C9-1,EW,WH,NH,07C9_WH,2395.86956377,07C9W
07D0_EH,2,W,07D0,07D0-2,EW,EH,NH,07D0_EH,2395.86947174,07D0E
07D0_WH,2,W,07D0,07D0-1,EW,WH,NH,07D0_WH,2395.86950647,07D0W
07D1_EH,2,W,07D1,07D1-2,EW,EH,NH,07D1_EH,2395.86939009,07D1E
07D1_WH,2,W,07D1,07D1-1,EW,WH,NH,07D1_WH,2395.86943294,07D1W
07D2_EH,2,W,07D2,07D2-2,EW,EH,NH,07D2_EH,2395.86929225,07D2E
07D2_WH,2,W,07D2,07D2-1,EW,WH,NH,07D2_WH,2395.86934319,07D2W
07D3_EH,2,W,07D3,07D3-2,EW,EH,NH,07D3_EH,2395.86917823,07D3E
