"MYCOMBO,C,80","ET_Count,N,10,0","FIRST_MyHe,C,80","FIRST_ICES,C,80","FIRST_Sear,C,80","FIRST_MyNS,C,80","FIRST_MyDi,C,80","FIRST_MyD1,C,80","FIRST_MyCo,C,80","MyCalcArea,N,19,11","HSName,C,10"
53E8_WH,2,W,53E8,53E8-1,EW,WH,NH,53E8_WH,1448.08610237,53E8W
53E9_EH,2,W,53E9,53E9-2,EW,EH,NH,53E9_EH,1448.0859061,53E9E
53E9_WH,2,W,53E9,53E9-1,EW,WH,NH,53E9_WH,1448.08597288,53E9W
53F0_EH,2,E,53F0,53F0-2,EW,EH,NH,53F0_EH,1448.08576848,53F0E
53F0_WH,2,E,53F0,53F0-1,EW,WH,NH,53F0_WH,1448.08583796,53F0W
53F1_EH,2,E,53F1,53F1-2,EW,EH,NH,53F1_EH,1448.08562549,53F1E
53F1_WH,2,E,53F1,53F1-1,EW,WH,NH,53F1_WH,1448.08569766,53F1W
53F2_EH,2,E,53F2,53F2-2,EW,EH,NH,53F2_EH,1448.08547718,53F2E
53F2_WH,2,E,53F2,53F2-1,EW,WH,NH,53F2_WH,1448.085552,53F2W
53F3_EH,2,E,53F3,53F3-2,EW,EH,NH,53F3_EH,1448.08532359,53F3E
53F3_WH,2,E,53F3,53F3-1,EW,WH,NH,53F3_WH,1448.08540104,53F3W
53F4_EH,2,E,53F4,53F4-2,EW,EH,NH,53F4_EH,1445.36407787,53F4E
53F4_WH,2,E,53F4,53F4-1,EW,WH,NH,53F4_WH,1448.08524483,53F4W
53F5_EH,2,E,53F5,53F5-2,EW,EH,NH,53F5_EH,602.694739626,53F5E
53F5_WH,2,E,53F5,53F5-1,EW,WH,NH,53F5_WH,1171.36962038,53F5W
53F6_EH,2,E,53F6,53F6-2,EW,EH,NH,53F6_EH,171.025105757,53F6E
53F6_WH,2,E,53F6,53F6-1,EW,WH,NH,53F6_WH,345.322186729,53F6W
53F7_WH,2,E,53F7,53F7-1,EW,WH,NH,53F7_WH,86.5230405351,53F7W
54C2_EH,2,W,54C2,54C2-2,EW,EH,NH,54C2_EH,1424.15274239,54C2E
54C3_EH,2,W,54C3,54C3-2,EW,EH,NH,54C3_EH,1424.15275937,54C3E
54C3_WH,2,W,54C3,54C3-1,EW,WH,NH,54C3_WH,1424.1527516,54C3W
54C4_EH,2,W,54C4,54C4-2,EW,EH,NH,54C4_EH,1424.15277066,54C4E
54C4_WH,2,W,54C4,54C4-1,EW,WH,NH,54C4_WH,1424.15276573,54C4W
54C5_EH,2,W,54C5,54C5-2,EW,EH,NH,54C5_EH,1424.15277624,54C5E
54C5_WH,2,W,54C5,54C5-1,EW,WH,NH,54C5_WH,1424.15277416,54C5W
54C6_EH,2,W,54C6,54C6-2,EW,EH,NH,54C6_EH,1424.15277611,54C6E
54C6_WH,2,W,54C6,54C6-1,EW,WH,NH,54C6_WH,1424.15277688,54C6W
54C7_EH,2,W,54C7,54C7-2,EW,EH,NH,54C7_EH,1424.15277027,54C7E
54C7_WH,2,W,54C7,54C7-1,EW,WH,NH,54C7_WH,1424.1527739,54C7W
54C8_EH,2,W,54C8,54C8-2,EW,EH,NH,54C8_EH,1424.15275874,54C8E
54C8_WH,2,W,54C8,54C8-1,EW,WH,NH,54C8_WH,1424.15276522,54C8W
54C9_EH,2,W,54C9,54C9-2,EW,EH,NH,54C9_EH,1424.1527415,54C9E
54C9_WH,2,W,54C9,54C9-1,EW,WH,NH,54C9_WH,1424.15275083,54C9W
54D0_EH,2,W,54D0,54D0-2,EW,EH,NH,54D0_EH,1424.15271857,54D0E
54D0_WH,2,W,54D0,54D0-1,EW,WH,NH,54D0_WH,1424.15273075,54D0W
54D1_EH,2,W,54D1,54D1-2,EW,EH,NH,54D1_EH,1424.15268995,54D1E
54D1_WH,2,W,54D1,54D1-1,EW,WH,NH,54D1_WH,1424.15270497,54D1W
54D2_EH,2,W,54D2,54D2-2,EW,EH,NH,54D2_EH,1424.15265565,54D2E
54D2_WH,2,W,54D2,54D2-1,EW,WH,NH,54D2_WH,1424.15267351,54D2W
54D3_EH,2,W,54D3,54D3-2,EW,EH,NH,54D3_EH,1424.15261568,54D3E
54D3_WH,2,W,54D3,54D3-1,EW,WH,NH,54D3_WH,1424.15263637,54D3W
54D4_EH,2,W,54D4,54D4-2,EW,EH,NH,54D4_EH,1424.15257005,54D4E
54D4_WH,2,W,54D4,54D4-1,EW,WH,NH,54D4_WH,1424.15259357,54D4W
54D5_EH,2,W,54D5,54D5-2,EW,EH,NH,54D5_EH,1424.15251879,54D5E
54D5_WH,2,W,54D5,54D5-1,EW,WH,NH,54D5_WH,1424.15254512,54D5W
54D6_EH,2,W,54D6,54D6-2,EW,EH,NH,54D6_EH,1424.15246189,54D6E
54D6_WH,2,W,54D6,54D6-1,EW,WH,NH,54D6_WH,1424.15249104,54D6W
54D7_EH,2,W,54D7,54D7-2,EW,EH,NH,54D7_EH,1424.15239938,54D7E
54D7_WH,2,W,54D7,54D7-1,EW,WH,NH,54D7_WH,1424.15243134,54D7W
54D8_EH,2,W,54D8,54D8-2,EW,EH,NH,54D8_EH,1424.15233129,54D8E
54D8_WH,2,W,54D8,54D8-1,EW,WH,NH,54D8_WH,1424.15236603,54D8W
54D9_EH,2,W,54D9,54D9-2,EW,EH,NH,54D9_EH,1424.15225762,54D9E
54D9_WH,2,W,54D9,54D9-1,EW,WH,NH,54D9_WH,1424.15229515,54D9W
54E0_EH,2,W,54E0,54E0-2,EW,EH,NH,54E0_EH,1424.15217841,54E0E
54E0_WH,2,W,54E0,54E0-1,EW,WH,NH,54E0_WH,1424.15221871,54E0W
54E1_EH,2,W,54E1,54E1-2,EW,EH,NH,54E1_EH,1424.15209367,54E1E
54E1_WH,2,W,54E1,54E1-1,EW,WH,NH,54E1_WH,1424.15213673,54E1W
54E2_EH,2,W,54E2,54E2-2,EW,EH,NH,54E2_EH,1424.15200343,54E2E
54E2_WH,2,W,54E2,54E2-1,EW,WH,NH,54E2_WH,1424.15204924,54E2W
54E3_EH,2,W,54E3,54E3-2,EW,EH,NH,54E3_EH,1424.15190773,54E3E
54E3_WH,2,W,54E3,54E3-1,EW,WH,NH,54E3_WH,1424.15195626,54E3W
54E4_EH,2,W,54E4,54E4-2,EW,EH,NH,54E4_EH,1424.15180658,54E4E
54E4_WH,2,W,54E4,54E4-1,EW,WH,NH,54E4_WH,1424.15185783,54E4W
54E5_EH,2,W,54E5,54E5-2,EW,EH,NH,54E5_EH,1424.15170003,54E5E
54E5_WH,2,W,54E5,54E5-1,EW,WH,NH,54E5_WH,1424.15175398,54E5W
54E6_EH,2,W,54E6,54E6-2,EW,EH,NH,54E6_EH,1424.15158809,54E6E
54E6_WH,2,W,54E6,54E6-1,EW,WH,NH,54E6_WH,1424.15164473,54E6W
54E7_EH,2,W,54E7,54E7-2,EW,EH,NH,54E7_EH,1424.15147081,54E7E
54E7_WH,2,W,54E7,54E7-1,EW,WH,NH,54E7_WH,1424.15153012,54E7W
54E8_EH,2,W,54E8,54E8-2,EW,EH,NH,54E8_EH,1424.15134823,54E8E
54E8_WH,2,W,54E8,54E8-1,EW,WH,NH,54E8_WH,1424.15141018,54E8W
54E9_EH,2,W,54E9,54E9-2,EW,EH,NH,54E9_EH,1424.15122037,54E9E
54E9_WH,2,W,54E9,54E9-1,EW,WH,NH,54E9_WH,1424.15128495,54E9W
54F0_EH,2,E,54F0,54F0-2,EW,EH,NH,54F0_EH,1424.15108728,54F0E
54F0_WH,2,E,54F0,54F0-1,EW,WH,NH,54F0_WH,1424.15115448,54F0W
54F1_EH,2,E,54F1,54F1-2,EW,EH,NH,54F1_EH,1424.150949,54F1E
54F1_WH,2,E,54F1,54F1-1,EW,WH,NH,54F1_WH,1424.15101879,54F1W
54F2_EH,2,E,54F2,54F2-2,EW,EH,NH,54F2_EH,1424.15080557,54F2E
54F2_WH,2,E,54F2,54F2-1,EW,WH,NH,54F2_WH,1424.15087793,54F2W
54F3_EH,2,E,54F3,54F3-2,EW,EH,NH,54F3_EH,1424.15065704,54F3E
54F3_WH,2,E,54F3,54F3-1,EW,WH,NH,54F3_WH,1424.15073194,54F3W
54F4_EH,2,E,54F4,54F4-2,EW,EH,NH,54F4_EH,1424.15050344,54F4E
54F4_WH,2,E,54F4,54F4-1,EW,WH,NH,54F4_WH,1424.15058087,54F4W
54F5_EH,2,E,54F5,54F5-2,EW,EH,NH,54F5_EH,1424.15034484,54F5E
54F5_WH,2,E,54F5,54F5-1,EW,WH,NH,54F5_WH,1424.15042476,54F5W
54F6_EH,2,E,54F6,54F6-2,EW,EH,NH,54F6_EH,889.39193818,54F6E
54F6_WH,2,E,54F6,54F6-1,EW,WH,NH,54F6_WH,1200.24597359,54F6W
54F7_WH,2,E,54F7,54F7-1,EW,WH,NH,54F7_WH,383.491305393,54F7W
55D1_EH,2,W,55D1,55D1-2,EW,EH,NH,55D1_EH,1307.64740736,55D1E
55D2_EH,2,W,55D2,55D2-2,EW,EH,NH,55D2_EH,1400.10308408,55D2E
55D2_WH,2,W,55D2,55D2-1,EW,WH,NH,55D2_WH,1400.10310133,55D2W
55D3_EH,2,W,55D3,55D3-2,EW,EH,NH,55D3_EH,1400.10304545,55D3E
55D3_WH,2,W,55D3,55D3-1,EW,WH,NH,55D3_WH,1400.10306545,55D3W
55D4_EH,2,W,55D4,55D4-2,EW,EH,NH,55D4_EH,1400.10300136,55D4E
55D4_WH,2,W,55D4,55D4-1,EW,WH,NH,55D4_WH,1400.10302409,55D4W
55D5_EH,2,W,55D5,55D5-2,EW,EH,NH,55D5_EH,1400.10295182,55D5E
55D5_WH,2,W,55D5,55D5-1,EW,WH,NH,55D5_WH,1400.10297727,55D5W
55D6_EH,2,W,55D6,55D6-2,EW,EH,NH,55D6_EH,1400.10289683,55D6E
55D6_WH,2,W,55D6,55D6-1,EW,WH,NH,55D6_WH,1400.102925,55D6W
55D7_EH,2,W,55D7,55D7-2,EW,EH,NH,55D7_EH,1400.10283643,55D7E
55D7_WH,2,W,55D7,55D7-1,EW,WH,NH,55D7_WH,1400.10286731,55D7W
55D8_EH,2,W,55D8,55D8-2,EW,EH,NH,55D8_EH,1400.10277062,55D8E
55D8_WH,2,W,55D8,55D8-1,EW,WH,NH,55D8_WH,1400.1028042,55D8W
55D9_EH,2,W,55D9,55D9-2,EW,EH,NH,55D9_EH,1400.10269943,55D9E
55D9_WH,2,W,55D9,55D9-1,EW,WH,NH,55D9_WH,1400.1027357,55D9W
55E0_EH,2,W,55E0,55E0-2,EW,EH,NH,55E0_EH,1400.10262288,55E0E
55E0_WH,2,W,55E0,55E0-1,EW,WH,NH,55E0_WH,1400.10266183,55E0W
55E1_EH,2,W,55E1,55E1-2,EW,EH,NH,55E1_EH,1400.10254099,55E1E
55E1_WH,2,W,55E1,55E1-1,EW,WH,NH,55E1_WH,1400.1025826,55E1W
55E2_EH,2,W,55E2,55E2-2,EW,EH,NH,55E2_EH,1400.10245379,55E2E
55E2_WH,2,W,55E2,55E2-1,EW,WH,NH,55E2_WH,1400.10249806,55E2W
55E3_EH,2,W,55E3,55E3-2,EW,EH,NH,55E3_EH,1400.10236131,55E3E
55E3_WH,2,W,55E3,55E3-1,EW,WH,NH,55E3_WH,1400.10240821,55E3W
55E4_EH,2,W,55E4,55E4-2,EW,EH,NH,55E4_EH,1400.10226356,55E4E
55E4_WH,2,W,55E4,55E4-1,EW,WH,NH,55E4_WH,1400.10231309,55E4W
55E5_EH,2,W,55E5,55E5-2,EW,EH,NH,55E5_EH,1400.10216059,55E5E
55E5_WH,2,W,55E5,55E5-1,EW,WH,NH,55E5_WH,1400.10221273,55E5W
55E6_EH,2,W,55E6,55E6-2,EW,EH,NH,55E6_EH,1400.10205242,55E6E
55E6_WH,2,W,55E6,55E6-1,EW,WH,NH,55E6_WH,1400.10210715,55E6W
55E7_EH,2,W,55E7,55E7-2,EW,EH,NH,55E7_EH,1400.10193908,55E7E
55E7_WH,2,W,55E7,55E7-1,EW,WH,NH,55E7_WH,1400.10199639,55E7W
55E8_EH,2,W,55E8,55E8-2,EW,EH,NH,55E8_EH,1400.10182062,55E8E
55E8_WH,2,W,55E8,55E8-1,EW,WH,NH,55E8_WH,1400.10188049,55E8W
55E9_EH,2,W,55E9,55E9-2,EW,EH,NH,55E9_EH,1400.10169706,55E9E
55E9_WH,2,W,55E9,55E9-1,EW,WH,NH,55E9_WH,1400.10175947,55E9W
55F0_EH,2,E,55F0,55F0-2,EW,EH,NH,55F0_EH,1400.10156845,55F0E
55F0_WH,2,E,55F0,55F0-1,EW,WH,NH,55F0_WH,1400.10163338,55F0W
55F1_EH,2,E,55F1,55F1-2,EW,EH,NH,55F1_EH,1400.10143482,55F1E
55F1_WH,2,E,55F1,55F1-1,EW,WH,NH,55F1_WH,1400.10150225,55F1W
55F2_EH,2,E,55F2,55F2-2,EW,EH,NH,55F2_EH,1400.10129621,55F2E
55F2_WH,2,E,55F2,55F2-1,EW,WH,NH,55F2_WH,1400.10136613,55F2W
55F3_EH,2,E,55F3,55F3-2,EW,EH,NH,55F3_EH,1400.10115267,55F3E
55F3_WH,2,E,55F3,55F3-1,EW,WH,NH,55F3_WH,1400.10122505,55F3W
55F4_EH,2,E,55F4,55F4-2,EW,EH,NH,55F4_EH,1400.10100424,55F4E
55F4_WH,2,E,55F4,55F4-1,EW,WH,NH,55F4_WH,1400.10107906,55F4W
55F5_EH,2,E,55F5,55F5-2,EW,EH,NH,55F5_EH,1400.10085097,55F5E
55F5_WH,2,E,55F5,55F5-1,EW,WH,NH,55F5_WH,1400.10092821,55F5W
55F6_EH,2,E,55F6,55F6-2,EW,EH,NH,55F6_EH,1400.10069289,55F6E
55F6_WH,2,E,55F6,55F6-1,EW,WH,NH,55F6_WH,1400.10077253,55F6W
55F7_EH,2,E,55F7,55F7-2,EW,EH,NH,55F7_EH,1088.96635381,55F7E
55F7_WH,2,E,55F7,55F7-1,EW,WH,NH,55F7_WH,1365.08211756,55F7W
55F8_WH,2,E,55F8,55F8-1,EW,WH,NH,55F8_WH,628.161596564,55F8W
56D1_EH,2,W,56D1,56D1-2,EW,EH,NH,56D1_EH,35.3175620147,56D1E
56D2_EH,2,W,56D2,56D2-2,EW,EH,NH,56D2_EH,854.208662651,56D2E
56D2_WH,2,W,56D2,56D2-1,EW,WH,NH,56D2_WH,482.838478198,56D2W
56D3_EH,2,W,56D3,56D3-2,EW,EH,NH,56D3_EH,1322.5503127,56D3E
